t,arrivals,starts,departures,queue_len,busy_servers
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,5,3,0,2,3
5,0,0,0,2,3
6,1,1,1,2,3
7,0,0,0,2,3
8,0,2,2,0,3
9,0,0,1,0,2
10,3,3,2,0,3
11,0,0,0,0,3
12,0,0,0,0,3
13,1,1,2,0,2
14,0,0,1,0,1
15,0,0,1,0,0
16,2,2,0,0,2
17,2,1,0,1,3
18,0,0,0,1,3
19,0,0,0,1,3
20,1,1,1,1,3
21,0,1,1,0,3
22,1,1,1,0,3
23,0,0,0,0,3
24,0,0,1,0,2
25,1,1,1,0,2
26,0,0,1,0,1
27,0,0,0,0,1
28,1,1,0,0,2
29,0,0,0,0,2
30,0,0,1,0,1
31,0,0,0,0,1
32,1,1,0,0,2
33,0,0,1,0,1
34,0,0,0,0,1
35,1,1,0,0,2
36,1,1,1,0,2
37,0,0,1,0,1
38,0,0,0,0,1
39,5,3,1,2,3
40,1,0,0,3,3
41,0,0,0,3,3
42,0,2,2,1,3
43,1,1,1,1,3
44,0,1,1,0,3
45,2,2,2,0,3
46,1,0,0,1,3
47,0,1,1,0,3
48,2,2,2,0,3
49,0,0,0,0,3
50,0,0,0,0,3
51,0,0,1,0,2
52,1,1,1,0,2
53,0,0,1,0,1
54,0,0,0,0,1
55,0,0,0,0,1
56,3,3,1,0,3
57,1,0,0,1,3
58,0,0,0,1,3
59,0,1,2,0,2
60,0,0,0,0,2
61,1,1,1,0,2
62,0,0,0,0,2
63,1,1,1,0,2
64,0,0,0,0,2
65,0,0,1,0,1
66,1,1,0,0,2
67,0,0,1,0,1
68,1,1,0,0,2
69,5,2,1,3,3
70,0,0,0,3,3
71,0,1,1,2,3
72,1,1,1,2,3
73,0,2,2,0,3
74,1,1,1,0,3
75,0,0,1,0,2
76,0,0,1,0,1
77,2,2,1,0,2
78,0,0,0,0,2
79,1,1,1,0,2
80,0,0,1,0,1
81,0,0,1,0,0
82,4,3,0,1,3
83,1,0,0,2,3
84,0,2,2,0,3
85,1,1,1,0,3
86,0,0,0,0,3
87,2,2,2,0,3
88,0,0,0,0,3
89,0,0,0,0,3
90,1,1,1,0,3
91,0,0,0,0,3
92,2,2,2,0,3
93,0,0,0,0,3
94,0,0,0,0,3
95,3,3,3,0,3
96,0,0,0,0,3
97,1,0,0,1,3
98,0,1,1,0,3
99,1,1,1,0,3
100,0,0,2,0,1
101,5,3,1,2,3
102,1,0,0,3,3
103,0,1,1,2,3
104,0,1,1,1,3
105,1,0,0,2,3
106,0,2,3,0,2
107,0,0,0,0,2
108,2,1,0,1,3
109,0,0,0,1,3
110,1,1,1,1,3
111,1,1,1,1,3
112,0,1,1,0,3
113,0,0,1,0,2
114,0,0,0,0,2
115,1,1,0,0,3
116,1,1,2,0,2
117,0,0,0,0,2
118,0,0,1,0,1
119,1,1,0,0,2
120,0,0,0,0,2
121,0,0,1,0,1
122,0,0,0,0,1
123,6,3,1,3,3
124,1,0,0,4,3
125,0,1,1,3,3
126,0,0,0,3,3
127,0,1,1,2,3
128,1,2,2,1,3
129,0,0,0,1,3
130,0,1,1,0,3
131,1,1,1,0,3
132,0,0,1,0,2
133,1,1,1,0,2
134,0,0,1,0,1
135,1,1,0,0,2
136,0,0,1,0,1
137,0,0,0,0,1
138,4,3,1,1,3
139,0,0,0,1,3
140,2,2,2,1,3
141,0,0,0,1,3
142,0,0,0,1,3
143,1,2,2,0,3
144,0,0,0,0,3
145,0,0,2,0,1
146,2,2,1,0,2
147,1,1,0,0,3
148,0,0,1,0,2
149,1,1,1,0,2
150,2,2,1,0,3
151,0,0,0,0,3
152,0,0,2,0,1
153,3,2,0,1,3
154,0,0,0,1,3
155,2,2,2,1,3
156,1,0,0,2,3
157,0,0,0,2,3
158,1,2,2,1,3
159,1,1,1,1,3
160,0,1,1,0,3
161,1,1,2,0,2
162,0,0,0,0,2
163,4,3,2,1,3
164,0,0,0,1,3
165,0,0,0,1,3
166,1,1,1,1,3
167,0,1,2,0,2
168,2,1,0,1,3
169,1,0,0,2,3
170,0,1,1,1,3
171,1,2,2,0,3
172,0,0,0,0,3
173,0,0,2,0,1
174,3,3,1,0,3
175,0,0,0,0,3
176,1,0,0,1,3
177,0,1,2,0,2
178,0,0,1,0,1
179,0,0,1,0,0
180,3,3,0,0,3
181,1,0,0,1,3
182,0,1,1,0,3
183,1,1,1,0,3
184,0,0,2,0,1
185,0,0,1,0,0
186,3,3,0,0,3
187,0,0,0,0,3
188,1,1,1,0,3
189,0,0,0,0,3
190,1,1,2,0,2
191,0,0,1,0,1
192,2,2,1,0,2
193,2,1,0,1,3
194,0,0,0,1,3
195,3,2,2,2,3
196,0,0,0,2,3
197,1,1,1,2,3
198,0,1,1,1,3
199,1,0,0,2,3
200,0,1,1,1,3
201,0,1,1,0,3
202,1,1,1,0,3
203,0,0,2,0,1
204,0,0,0,0,1
205,1,1,0,0,2
206,0,0,1,0,1
207,0,0,0,0,1
208,3,3,1,0,3
209,0,0,0,0,3
210,1,1,2,0,2
211,0,0,1,0,1
212,0,0,0,0,1
213,2,2,1,0,2
214,1,1,0,0,3
215,0,0,0,0,3
216,0,0,1,0,2
217,1,1,0,0,3
218,1,1,2,0,2
219,0,0,1,0,1
220,0,0,0,0,1
221,2,2,1,0,2
222,0,0,0,0,2
223,0,0,1,0,1
224,1,1,0,0,2
225,0,0,1,0,1
226,0,0,0,0,1
227,2,2,1,0,2
228,1,1,0,0,3
229,0,0,2,0,1
230,0,0,0,0,1
231,3,2,0,1,3
232,0,0,0,1,3
233,1,2,2,0,3
234,0,0,0,0,3
235,0,0,1,0,2
236,1,1,1,0,2
237,2,2,1,0,3
238,1,0,0,1,3
239,0,0,0,1,3
240,0,1,1,0,3
241,1,1,1,0,3
242,0,0,1,0,2
243,1,1,0,0,3
244,0,0,1,0,2
245,0,0,1,0,1
246,3,3,1,0,3
247,0,0,0,0,3
248,1,0,0,1,3
249,0,0,0,1,3
250,0,1,3,0,1
251,0,0,0,0,1
252,2,2,1,0,2
253,1,1,0,0,3
254,0,0,0,0,3
255,1,1,1,0,3
256,0,0,0,0,3
257,1,1,1,0,3
258,0,0,2,0,1
259,0,0,1,0,0
260,2,2,0,0,2
261,0,0,0,0,2
262,4,3,2,1,3
263,0,0,0,1,3
264,0,1,1,0,3
265,1,1,1,0,3
266,1,1,1,0,3
267,0,0,1,0,2
268,0,0,1,0,1
269,0,0,0,0,1
270,1,1,0,0,2
271,0,0,1,0,1
272,0,0,0,0,1
273,1,1,0,0,2
274,2,2,1,0,3
275,0,0,0,0,3
276,0,0,3,0,0
277,3,3,0,0,3
278,0,0,0,0,3
279,1,1,1,0,3
280,0,0,0,0,3
281,0,0,1,0,2
282,0,0,1,0,1
283,2,2,1,0,2
284,0,0,0,0,2
285,1,1,0,0,3
286,0,0,0,0,3
287,0,0,1,0,2
288,2,2,1,0,3
289,0,0,0,0,3
290,0,0,1,0,2
291,1,1,1,0,2
292,0,0,1,0,1
293,0,0,1,0,0
294,0,0,0,0,0
295,2,2,0,0,2
296,6,1,0,5,3
297,0,0,0,5,3
298,0,0,0,5,3
299,0,2,2,3,3
300,1,1,1,3,3
301,0,0,0,3,3
302,0,1,1,2,3
303,1,0,0,3,3
304,1,1,1,3,3
305,0,1,1,2,3
306,2,1,1,3,3
307,0,0,0,3,3
308,1,1,1,3,3
309,0,2,2,1,3
310,0,0,0,1,3
311,2,2,2,1,3
312,0,0,0,1,3
313,0,1,2,0,2
314,0,0,0,0,2
315,1,1,0,0,3
316,0,0,1,0,2
317,0,0,0,0,2
318,0,0,2,0,0
319,3,3,0,0,3
320,1,0,0,1,3
321,0,1,1,0,3
322,1,1,1,0,3
323,2,2,2,0,3
324,0,0,0,0,3
325,0,0,1,0,2
326,0,0,1,0,1
327,3,3,1,0,3
328,0,0,0,0,3
329,1,1,1,0,3
330,0,0,1,0,2
331,0,0,1,0,1
332,1,1,0,0,2
333,0,0,1,0,1
334,0,0,0,0,1
335,0,0,0,0,1
336,1,1,0,0,2
337,0,0,1,0,1
338,1,1,0,0,2
339,0,0,0,0,2
340,1,1,1,0,2
341,0,0,0,0,2
342,1,1,1,0,2
343,0,0,1,0,1
344,0,0,0,0,1
345,0,0,0,0,1
346,1,1,0,0,2
347,0,0,1,0,1
348,0,0,0,0,1
349,4,3,1,1,3
350,1,0,0,2,3
351,0,1,1,1,3
352,0,1,1,0,3
353,2,1,1,1,3
354,0,0,0,1,3
355,1,2,2,0,3
356,0,0,1,0,2
357,1,1,1,0,2
358,1,1,1,0,2
359,0,0,0,0,2
360,0,0,2,0,0
361,0,0,0,0,0
362,2,2,0,0,2
363,1,1,0,0,3
364,0,0,1,0,2
365,0,0,1,0,1
366,0,0,0,0,1
367,2,2,1,0,2
368,0,0,0,0,2
369,0,0,1,0,1
370,1,1,0,0,2
371,0,0,1,0,1
372,0,0,1,0,0
373,0,0,0,0,0
374,4,3,0,1,3
375,0,0,0,1,3
376,1,1,1,1,3
377,0,1,1,0,3
378,1,1,1,0,3
379,1,1,1,0,3
