t,arrivals,starts,departures,queue_len,busy_servers
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,4,2,0,2,2
4,0,0,0,2,2
5,3,1,1,4,2
6,0,0,0,4,2
7,0,1,1,3,2
8,1,0,0,4,2
9,1,1,1,4,2
10,0,1,1,3,2
11,0,0,0,3,2
12,1,1,1,3,2
13,0,0,0,3,2
14,2,1,1,4,2
15,0,0,0,4,2
16,0,0,0,4,2
17,2,1,1,5,2
18,0,0,0,5,2
19,1,1,1,5,2
20,0,0,0,5,2
21,0,1,1,4,2
22,1,1,1,4,2
23,0,0,0,4,2
24,1,1,1,4,2
25,0,0,0,4,2
26,0,1,1,3,2
27,1,1,1,3,2
28,0,0,0,3,2
29,0,0,0,3,2
30,1,1,1,3,2
31,0,1,1,2,2
32,0,0,0,2,2
33,0,0,0,2,2
34,1,0,0,3,2
35,0,1,1,2,2
36,3,1,1,4,2
37,0,0,0,4,2
38,1,1,1,4,2
39,0,1,1,3,2
40,1,0,0,4,2
41,0,1,1,3,2
42,0,0,0,3,2
43,1,1,1,3,2
44,0,1,1,2,2
45,0,0,0,2,2
46,0,1,1,1,2
47,5,1,1,5,2
48,1,0,0,6,2
49,0,0,0,6,2
50,1,1,1,6,2
51,1,1,1,6,2
52,0,1,1,5,2
53,0,0,0,5,2
54,1,1,1,5,2
55,0,0,0,5,2
56,1,1,1,5,2
57,0,1,1,4,2
58,1,0,0,5,2
59,0,0,0,5,2
60,0,0,0,5,2
61,0,1,1,4,2
62,1,1,1,4,2
63,0,0,0,4,2
64,0,1,1,3,2
65,1,1,1,3,2
66,0,0,0,3,2
67,0,2,2,1,2
68,2,0,0,3,2
69,0,0,0,3,2
70,0,0,0,3,2
71,3,2,2,4,2
72,3,0,0,7,2
73,0,0,0,7,2
74,0,1,1,6,2
75,1,1,1,6,2
76,1,1,1,6,2
77,1,1,1,6,2
78,0,0,0,6,2
79,1,1,1,6,2
80,1,1,1,6,2
81,0,1,1,5,2
82,0,0,0,5,2
83,2,2,2,5,2
84,1,0,0,6,2
85,0,0,0,6,2
86,0,1,1,5,2
87,1,0,0,6,2
88,1,1,1,6,2
89,1,1,1,6,2
90,0,1,1,5,2
91,0,1,1,4,2
92,1,1,1,4,2
93,0,0,0,4,2
94,1,1,1,4,2
95,2,1,1,5,2
96,0,0,0,5,2
97,0,0,0,5,2
98,0,0,0,5,2
99,1,1,1,5,2
100,0,1,1,4,2
101,0,0,0,4,2
102,0,0,0,4,2
103,1,2,2,3,2
104,0,0,0,3,2
105,1,1,1,3,2
106,0,1,1,2,2
107,1,0,0,3,2
108,0,0,0,3,2
109,3,2,2,4,2
110,4,0,0,8,2
111,3,0,0,11,2
112,0,0,0,11,2
113,0,1,1,10,2
114,1,1,1,10,2
115,4,1,1,13,2
116,0,0,0,13,2
117,1,0,0,14,2
118,0,0,0,14,2
119,0,2,2,12,2
120,1,0,0,13,2
121,0,1,1,12,2
122,1,0,0,13,2
123,1,1,1,13,2
124,0,1,1,12,2
125,0,0,0,12,2
126,0,0,0,12,2
127,1,0,0,13,2
128,0,2,2,11,2
129,1,0,0,12,2
130,0,1,1,11,2
131,0,0,0,11,2
132,1,0,0,12,2
133,0,1,1,11,2
134,0,1,1,10,2
135,1,0,0,11,2
136,0,0,0,11,2
137,1,1,1,11,2
138,1,1,1,11,2
139,0,0,0,11,2
140,0,0,0,11,2
141,0,1,1,10,2
142,1,1,1,10,2
143,0,0,0,10,2
144,0,1,1,9,2
145,0,0,0,9,2
146,1,1,1,9,2
147,2,1,1,10,2
148,1,0,0,11,2
149,0,0,0,11,2
150,1,1,1,11,2
151,0,0,0,11,2
152,2,1,1,12,2
153,0,0,0,12,2
154,0,1,1,11,2
155,1,0,0,12,2
156,1,2,2,11,2
157,0,0,0,11,2
158,0,1,1,10,2
159,0,1,1,9,2
160,1,0,0,10,2
161,0,0,0,10,2
162,0,0,0,10,2
163,0,2,2,8,2
164,1,0,0,9,2
165,0,1,1,8,2
166,1,1,1,8,2
167,0,1,1,7,2
168,0,0,0,7,2
169,4,1,1,10,2
170,0,0,0,10,2
171,1,1,1,10,2
172,2,1,1,11,2
173,0,0,0,11,2
174,0,2,2,9,2
175,1,0,0,10,2
176,2,1,1,11,2
177,0,0,0,11,2
178,3,1,1,13,2
179,3,0,0,16,2
180,0,0,0,16,2
181,1,1,1,16,2
182,1,1,1,16,2
183,0,1,1,15,2
184,1,0,0,16,2
185,4,2,2,18,2
186,0,0,0,18,2
187,0,0,0,18,2
188,0,2,2,16,2
189,2,0,0,18,2
190,0,0,0,18,2
191,0,0,0,18,2
192,1,1,1,18,2
193,1,1,1,18,2
194,0,1,1,17,2
195,2,1,1,18,2
196,0,0,0,18,2
197,0,1,1,17,2
198,1,1,1,17,2
199,0,0,0,17,2
200,1,1,1,17,2
201,0,1,1,16,2
202,1,0,0,17,2
203,0,1,1,16,2
204,0,1,1,15,2
205,0,1,1,14,2
206,1,0,0,15,2
207,1,1,1,15,2
208,0,1,1,14,2
209,1,0,0,15,2
210,1,2,2,14,2
211,0,0,0,14,2
212,1,2,2,13,2
213,0,0,0,13,2
214,1,1,1,13,2
215,0,0,0,13,2
216,0,1,1,12,2
217,1,0,0,13,2
218,0,1,1,12,2
219,1,0,0,13,2
220,1,1,1,13,2
221,0,1,1,12,2
222,1,0,0,13,2
223,0,1,1,12,2
224,1,0,0,13,2
225,0,2,2,11,2
226,1,0,0,12,2
227,0,2,2,10,2
228,0,0,0,10,2
229,0,1,1,9,2
230,1,1,1,9,2
231,0,1,1,8,2
232,0,0,0,8,2
233,1,1,1,8,2
234,0,1,1,7,2
235,0,0,0,7,2
236,1,0,0,8,2
237,3,2,2,9,2
238,2,0,0,11,2
239,1,0,0,12,2
240,0,0,0,12,2
241,3,2,2,13,2
242,0,0,0,13,2
243,0,0,0,13,2
244,3,2,2,14,2
245,0,0,0,14,2
246,0,0,0,14,2
247,1,2,2,13,2
248,0,0,0,13,2
249,1,2,2,12,2
250,0,0,0,12,2
251,0,0,0,12,2
252,0,0,0,12,2
253,1,2,2,11,2
254,0,0,0,11,2
255,2,1,1,12,2
256,0,0,0,12,2
257,2,1,1,13,2
258,0,0,0,13,2
259,0,2,2,11,2
260,0,0,0,11,2
261,1,1,1,11,2
262,0,0,0,11,2
263,0,2,2,9,2
264,1,0,0,10,2
265,0,2,2,8,2
266,0,0,0,8,2
267,1,0,0,9,2
268,0,1,1,8,2
269,0,0,0,8,2
270,0,2,2,6,2
271,1,0,0,7,2
272,0,0,0,7,2
273,1,1,1,7,2
274,0,0,0,7,2
275,2,2,2,7,2
276,3,0,0,10,2
277,0,0,0,10,2
278,0,0,0,10,2
279,1,1,1,10,2
280,0,1,1,9,2
281,1,0,0,10,2
282,0,0,0,10,2
283,1,1,1,10,2
284,3,1,1,12,2
285,1,0,0,13,2
286,0,0,0,13,2
287,0,0,0,13,2
288,1,1,1,13,2
289,0,1,1,12,2
290,2,0,0,14,2
291,0,0,0,14,2
292,2,2,2,14,2
293,0,0,0,14,2
294,5,1,1,18,2
295,0,0,0,18,2
296,0,0,0,18,2
297,0,1,1,17,2
298,2,1,1,18,2
299,1,0,0,19,2
300,0,0,0,19,2
301,0,2,2,17,2
302,0,0,0,17,2
303,1,0,0,18,2
304,0,0,0,18,2
305,0,1,1,17,2
306,4,1,1,20,2
307,0,0,0,20,2
308,1,2,2,19,2
309,0,0,0,19,2
310,0,2,2,17,2
311,2,0,0,19,2
312,0,0,0,19,2
313,0,0,0,19,2
314,3,2,2,20,2
315,1,0,0,21,2
316,0,0,0,21,2
317,0,0,0,21,2
318,1,1,1,21,2
319,0,1,1,20,2
320,1,0,0,21,2
321,0,1,1,20,2
322,0,1,1,19,2
323,1,0,0,20,2
324,0,1,1,19,2
325,0,1,1,18,2
326,1,0,0,19,2
327,0,0,0,19,2
328,0,1,1,18,2
329,1,0,0,19,2
330,3,2,2,20,2
331,0,0,0,20,2
332,1,2,2,19,2
333,0,0,0,19,2
334,0,0,0,19,2
335,0,1,1,18,2
336,1,0,0,19,2
337,0,1,1,18,2
338,2,0,0,20,2
339,0,0,0,20,2
340,0,1,1,19,2
341,1,1,1,19,2
342,0,0,0,19,2
343,1,1,1,19,2
344,0,0,0,19,2
345,2,2,2,19,2
346,1,0,0,20,2
347,0,0,0,20,2
348,0,1,1,19,2
349,0,1,1,18,2
350,1,1,1,18,2
351,0,1,1,17,2
352,0,0,0,17,2
353,0,0,0,17,2
354,1,1,1,17,2
355,1,1,1,17,2
356,0,0,0,17,2
357,1,1,1,17,2
358,0,0,0,17,2
359,3,1,1,19,2
360,0,0,0,19,2
361,0,2,2,17,2
362,0,0,0,17,2
363,1,2,2,16,2
364,0,0,0,16,2
365,0,0,0,16,2
366,0,2,2,14,2
367,1,0,0,15,2
368,1,1,1,15,2
369,0,1,1,14,2
370,1,0,0,15,2
371,0,0,0,15,2
372,2,2,2,15,2
373,0,0,0,15,2
374,4,0,0,19,2
375,1,0,0,20,2
376,0,0,0,20,2
377,4,2,2,22,2
378,2,0,0,24,2
379,5,0,0,29,2
