t,arrivals,starts,departures,queue_len,busy_servers
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,4,2,0,2,2
5,0,0,0,2,2
6,1,1,1,2,2
7,0,0,0,2,2
8,1,1,1,2,2
9,0,0,0,2,2
10,0,1,1,1,2
11,0,1,1,0,2
12,1,1,1,0,2
13,0,0,1,0,1
14,0,0,0,0,1
15,2,2,1,0,2
16,0,0,0,0,2
17,0,0,0,0,2
18,1,1,1,0,2
19,0,0,1,0,1
20,0,0,1,0,0
21,2,2,0,0,2
22,1,0,0,1,2
23,0,0,0,1,2
24,0,0,0,1,2
25,1,1,1,1,2
26,0,1,1,0,2
27,0,0,0,0,2
28,1,1,1,0,2
29,0,0,0,0,2
30,0,0,1,0,1
31,5,2,1,3,2
32,0,0,0,3,2
33,0,0,0,3,2
34,1,0,0,4,2
35,0,1,1,3,2
36,0,1,1,2,2
37,1,1,1,2,2
38,0,1,1,1,2
39,0,0,0,1,2
40,1,1,1,1,2
41,0,1,1,0,2
42,1,0,0,1,2
43,0,1,1,0,2
44,1,0,0,1,2
45,0,1,1,0,2
46,0,0,0,0,2
47,0,0,2,0,0
48,2,2,0,0,2
49,1,0,0,1,2
50,0,1,1,0,2
51,1,0,0,1,2
52,0,0,0,1,2
53,1,1,1,1,2
54,1,1,1,1,2
55,0,0,0,1,2
56,3,2,2,2,2
57,0,0,0,2,2
58,0,0,0,2,2
59,0,0,0,2,2
60,1,1,1,2,2
61,0,1,1,1,2
62,0,0,0,1,2
63,0,0,0,1,2
64,1,1,1,1,2
65,0,0,0,1,2
66,1,1,1,1,2
67,0,1,1,0,2
68,1,0,0,1,2
69,0,1,1,0,2
70,0,0,1,0,1
71,0,0,0,0,1
72,1,1,0,0,2
73,0,0,1,0,1
74,1,1,0,0,2
75,0,0,0,0,2
76,0,0,1,0,1
77,1,1,0,0,2
78,0,0,1,0,1
79,1,1,0,0,2
80,2,1,1,1,2
81,0,0,0,1,2
82,0,1,1,0,2
83,1,1,1,0,2
84,1,1,1,0,2
85,2,1,1,1,2
86,1,0,0,2,2
87,0,1,1,1,2
88,2,1,1,2,2
89,0,0,0,2,2
90,0,1,1,1,2
91,0,0,0,1,2
92,1,1,1,1,2
93,0,1,1,0,2
94,1,0,0,1,2
95,0,1,1,0,2
96,1,0,0,1,2
97,1,2,2,0,2
98,0,0,0,0,2
99,0,0,1,0,1
100,4,2,1,2,2
101,0,0,0,2,2
102,1,1,1,2,2
103,0,1,1,1,2
104,1,0,0,2,2
105,0,0,0,2,2
106,0,0,0,2,2
107,1,1,1,2,2
108,0,1,1,1,2
109,1,0,0,2,2
110,0,0,0,2,2
111,1,1,1,2,2
112,0,1,1,1,2
113,0,0,0,1,2
114,1,1,1,1,2
115,0,1,1,0,2
116,1,0,0,1,2
117,0,1,1,0,2
118,0,0,0,0,2
119,0,0,1,0,1
120,4,2,1,2,2
121,1,0,0,3,2
122,1,1,1,3,2
123,0,1,1,2,2
124,0,1,1,1,2
125,0,1,1,0,2
126,1,0,0,1,2
127,0,1,1,0,2
128,0,0,0,0,2
129,1,1,1,0,2
130,0,0,1,0,1
131,0,0,1,0,0
132,2,2,0,0,2
133,2,0,0,2,2
134,2,0,0,4,2
135,0,0,0,4,2
136,0,1,1,3,2
137,2,1,1,4,2
138,1,0,0,5,2
139,0,0,0,5,2
140,0,0,0,5,2
141,1,2,2,4,2
142,0,0,0,4,2
143,0,0,0,4,2
144,0,0,0,4,2
145,2,2,2,4,2
146,0,0,0,4,2
147,0,0,0,4,2
148,1,1,1,4,2
149,0,0,0,4,2
150,0,2,2,2,2
151,2,0,0,4,2
152,0,0,0,4,2
153,0,0,0,4,2
154,0,0,0,4,2
155,2,2,2,4,2
156,0,0,0,4,2
157,0,0,0,4,2
158,0,1,1,3,2
159,1,1,1,3,2
160,0,0,0,3,2
161,1,1,1,3,2
162,0,1,1,2,2
163,1,0,0,3,2
164,0,0,0,3,2
165,1,1,1,3,2
166,2,1,1,4,2
167,0,0,0,4,2
168,1,1,1,4,2
169,0,1,1,3,2
170,0,0,0,3,2
171,0,0,0,3,2
172,1,0,0,4,2
173,0,2,2,2,2
174,0,0,0,2,2
175,0,1,1,1,2
176,1,1,1,1,2
177,0,0,0,1,2
178,1,1,1,1,2
179,0,1,1,0,2
180,0,0,0,0,2
181,1,0,0,1,2
182,1,2,2,0,2
183,0,0,0,0,2
184,4,2,2,2,2
185,0,0,0,2,2
186,0,1,1,1,2
187,1,1,1,1,2
188,0,1,1,0,2
189,0,0,1,0,1
190,0,0,1,0,0
191,2,2,0,0,2
192,0,0,0,0,2
193,1,0,0,1,2
194,1,2,2,0,2
195,0,0,0,0,2
196,3,2,2,1,2
197,1,0,0,2,2
198,0,1,1,1,2
199,1,1,1,1,2
200,0,0,0,1,2
201,0,1,1,0,2
202,1,1,1,0,2
203,0,0,0,0,2
204,0,0,0,0,2
205,0,0,1,0,1
206,2,2,1,0,2
207,0,0,0,0,2
208,0,0,0,0,2
209,1,1,1,0,2
210,0,0,1,0,1
211,2,2,1,0,2
212,1,0,0,1,2
213,1,1,1,1,2
214,0,0,0,1,2
215,1,1,1,1,2
216,0,0,0,1,2
217,1,1,1,1,2
218,0,1,1,0,2
219,1,0,0,1,2
220,0,1,1,0,2
221,0,0,1,0,1
222,0,0,1,0,0
223,4,2,0,2,2
224,1,0,0,3,2
225,0,1,1,2,2
226,1,1,1,2,2
227,0,1,1,1,2
228,0,1,1,0,2
229,1,1,1,0,2
230,0,0,0,0,2
231,0,0,0,0,2
232,1,1,1,0,2
233,0,0,1,0,1
234,1,1,0,0,2
235,0,0,0,0,2
236,1,1,1,0,2
237,0,0,1,0,1
238,2,2,1,0,2
239,1,0,0,1,2
240,0,0,0,1,2
241,1,2,2,0,2
242,0,0,0,0,2
243,0,0,2,0,0
244,0,0,0,0,0
245,4,2,0,2,2
246,0,0,0,2,2
247,1,1,1,2,2
248,0,1,1,1,2
249,0,0,0,1,2
250,1,0,0,2,2
251,3,2,2,3,2
252,2,0,0,5,2
253,1,0,0,6,2
254,0,0,0,6,2
255,0,2,2,4,2
256,1,0,0,5,2
257,0,0,0,5,2
258,3,2,2,6,2
259,1,0,0,7,2
260,0,0,0,7,2
261,0,0,0,7,2
262,1,1,1,7,2
263,1,1,1,7,2
264,0,0,0,7,2
265,1,1,1,7,2
266,0,1,1,6,2
267,2,0,0,8,2
268,0,0,0,8,2
269,0,1,1,7,2
270,1,0,0,8,2
271,0,1,1,7,2
272,0,1,1,6,2
273,2,1,1,7,2
274,0,0,0,7,2
275,0,2,2,5,2
276,0,0,0,5,2
277,1,1,1,5,2
278,0,0,0,5,2
279,0,2,2,3,2
280,1,0,0,4,2
281,0,2,2,2,2
282,0,0,0,2,2
283,1,0,0,3,2
284,0,1,1,2,2
285,0,0,0,2,2
286,0,2,2,0,2
287,1,0,0,1,2
288,0,0,0,1,2
289,1,1,1,1,2
290,0,0,0,1,2
291,0,1,2,0,1
292,2,1,0,1,2
293,1,0,0,2,2
294,0,0,0,2,2
295,0,1,1,1,2
296,1,0,0,2,2
297,0,1,1,1,2
298,0,0,0,1,2
299,1,1,1,1,2
300,0,0,0,1,2
301,0,1,1,0,2
302,1,0,0,1,2
303,0,1,1,0,2
304,0,0,1,0,1
305,0,0,1,0,0
306,2,2,0,0,2
307,1,0,0,1,2
308,0,0,0,1,2
309,0,1,1,0,2
310,0,0,0,0,2
311,1,1,1,0,2
312,0,0,0,0,2
313,1,1,1,0,2
314,0,0,1,0,1
315,0,0,1,0,0
316,2,2,0,0,2
317,0,0,0,0,2
318,5,2,2,3,2
319,0,0,0,3,2
320,0,1,1,2,2
321,1,0,0,3,2
322,0,1,1,2,2
323,1,1,1,2,2
324,0,1,1,1,2
325,0,0,0,1,2
326,0,0,0,1,2
327,1,0,0,2,2
328,0,2,2,0,2
329,0,0,0,0,2
330,1,1,1,0,2
331,1,1,1,0,2
332,0,0,1,0,1
333,0,0,1,0,0
334,4,2,0,2,2
335,0,0,0,2,2
336,1,1,1,2,2
337,0,0,0,2,2
338,0,0,0,2,2
339,0,1,1,1,2
340,1,1,1,1,2
341,0,0,0,1,2
342,0,0,0,1,2
343,0,1,1,0,2
344,1,1,1,0,2
345,0,0,0,0,2
346,0,0,1,0,1
347,2,1,0,1,2
348,0,0,0,1,2
349,0,1,1,0,2
350,1,1,1,0,2
351,0,0,0,0,2
352,0,0,1,0,1
353,0,0,1,0,0
354,2,2,0,0,2
355,2,0,0,2,2
356,3,0,0,5,2
357,0,0,0,5,2
358,1,1,1,5,2
359,0,1,1,4,2
360,0,0,0,4,2
361,0,1,1,3,2
362,3,1,1,5,2
363,1,0,0,6,2
364,0,0,0,6,2
365,0,0,0,6,2
366,1,1,1,6,2
367,0,1,1,5,2
368,0,0,0,5,2
369,1,1,1,5,2
370,0,1,1,4,2
371,1,1,1,4,2
372,0,0,0,4,2
373,0,1,1,3,2
374,1,0,0,4,2
375,0,2,2,2,2
376,0,0,0,2,2
377,0,2,2,0,2
378,2,0,0,2,2
379,0,0,0,2,2
