t,arrivals,starts,departures,queue_len,busy_servers
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,4,2,0,2,2
5,0,0,0,2,2
6,1,0,0,3,2
7,0,1,1,2,2
8,0,0,0,2,2
9,0,1,1,1,2
10,1,0,0,2,2
11,0,1,1,1,2
12,0,1,1,0,2
13,0,0,1,0,1
14,1,1,0,0,2
15,0,0,1,0,1
16,0,0,0,0,1
17,1,1,0,0,2
18,0,0,1,0,1
19,0,0,0,0,1
20,0,0,0,0,1
21,4,2,1,2,2
22,0,0,0,2,2
23,2,1,1,3,2
24,0,0,0,3,2
25,0,1,1,2,2
26,1,0,0,3,2
27,0,0,0,3,2
28,0,1,1,2,2
29,1,1,1,2,2
30,0,0,0,2,2
31,0,0,0,2,2
32,1,1,1,2,2
33,0,1,1,1,2
34,0,0,0,1,2
35,1,0,0,2,2
36,0,0,0,2,2
37,0,1,1,1,2
38,3,1,1,3,2
39,3,0,0,6,2
40,0,0,0,6,2
41,0,0,0,6,2
42,1,1,1,6,2
43,0,1,1,5,2
44,1,0,0,6,2
45,0,0,0,6,2
46,0,1,1,5,2
47,1,1,1,5,2
48,0,0,0,5,2
49,0,0,0,5,2
50,0,1,1,4,2
51,1,0,0,5,2
52,0,2,2,3,2
53,0,0,0,3,2
54,1,0,0,4,2
55,1,1,1,4,2
56,0,1,1,3,2
57,0,0,0,3,2
58,1,0,0,4,2
59,0,1,1,3,2
60,1,1,1,3,2
61,0,1,1,2,2
62,1,0,0,3,2
63,0,1,1,2,2
64,0,0,0,2,2
65,0,0,0,2,2
66,4,2,2,4,2
67,0,0,0,4,2
68,2,0,0,6,2
69,0,0,0,6,2
70,0,0,0,6,2
71,1,2,2,5,2
72,0,0,0,5,2
73,0,1,1,4,2
74,0,0,0,4,2
75,2,1,1,5,2
76,0,0,0,5,2
77,0,0,0,5,2
78,1,1,1,5,2
79,0,0,0,5,2
80,2,1,1,6,2
81,3,0,0,9,2
82,0,0,0,9,2
83,0,1,1,8,2
84,1,1,1,8,2
85,2,1,1,9,2
86,0,0,0,9,2
87,4,1,1,12,2
88,0,0,0,12,2
89,0,0,0,12,2
90,1,1,1,12,2
91,0,1,1,11,2
92,0,1,1,10,2
93,0,0,0,10,2
94,1,0,0,11,2
95,0,1,1,10,2
96,4,1,1,13,2
97,1,0,0,14,2
98,0,0,0,14,2
99,0,0,0,14,2
100,1,2,2,13,2
101,0,0,0,13,2
102,1,1,1,13,2
103,0,0,0,13,2
104,0,1,1,12,2
105,0,0,0,12,2
106,1,1,1,12,2
107,0,0,0,12,2
108,1,1,1,12,2
109,0,0,0,12,2
110,0,0,0,12,2
111,1,1,1,12,2
112,0,0,0,12,2
113,3,1,1,14,2
114,0,0,0,14,2
115,0,0,0,14,2
116,1,1,1,14,2
117,0,1,1,13,2
118,1,0,0,14,2
119,0,0,0,14,2
120,0,1,1,13,2
121,2,1,1,14,2
122,4,0,0,18,2
123,3,0,0,21,2
124,0,0,0,21,2
125,0,2,2,19,2
126,0,0,0,19,2
127,1,0,0,20,2
128,1,1,1,20,2
129,0,0,0,20,2
130,1,1,1,20,2
131,0,0,0,20,2
132,0,0,0,20,2
133,2,2,2,20,2
134,2,0,0,22,2
135,2,0,0,24,2
136,0,0,0,24,2
137,0,0,0,24,2
138,2,2,2,24,2
139,4,0,0,28,2
140,0,0,0,28,2
141,0,0,0,28,2
142,0,0,0,28,2
143,3,2,2,29,2
144,0,0,0,29,2
145,1,0,0,30,2
146,0,0,0,30,2
147,0,1,1,29,2
148,2,1,1,30,2
149,0,0,0,30,2
150,0,0,0,30,2
151,0,0,0,30,2
152,1,1,1,30,2
153,0,1,1,29,2
154,1,0,0,30,2
155,0,0,0,30,2
156,0,2,2,28,2
157,0,0,0,28,2
158,5,1,1,32,2
159,0,0,0,32,2
160,0,0,0,32,2
161,1,1,1,32,2
162,1,1,1,32,2
163,0,1,1,31,2
164,1,0,0,32,2
165,0,1,1,31,2
166,0,0,0,31,2
167,0,0,0,31,2
168,1,1,1,31,2
169,0,1,1,30,2
170,1,0,0,31,2
171,0,1,1,30,2
172,0,0,0,30,2
173,1,1,1,30,2
174,0,1,1,29,2
175,0,0,0,29,2
176,1,0,0,30,2
177,0,1,1,29,2
178,1,0,0,30,2
179,1,1,1,30,2
180,0,1,1,29,2
181,2,1,1,30,2
182,1,0,0,31,2
183,0,0,0,31,2
184,0,2,2,29,2
185,0,0,0,29,2
186,1,1,1,29,2
187,0,0,0,29,2
188,0,0,0,29,2
189,0,2,2,27,2
190,1,0,0,28,2
191,0,0,0,28,2
192,0,1,1,27,2
193,3,1,1,29,2
194,1,0,0,30,2
195,0,0,0,30,2
196,1,1,1,30,2
197,1,1,1,30,2
198,0,1,1,29,2
199,1,0,0,30,2
200,0,0,0,30,2
201,3,2,2,31,2
202,0,0,0,31,2
203,1,0,0,32,2
204,0,0,0,32,2
205,0,2,2,30,2
206,0,0,0,30,2
207,2,0,0,32,2
208,0,0,0,32,2
209,0,0,0,32,2
210,3,2,2,33,2
211,0,0,0,33,2
212,0,0,0,33,2
213,1,2,2,32,2
214,0,0,0,32,2
215,0,0,0,32,2
216,3,2,2,33,2
217,0,0,0,33,2
218,1,0,0,34,2
219,0,0,0,34,2
220,3,2,2,35,2
221,1,0,0,36,2
222,0,0,0,36,2
223,2,1,1,37,2
224,0,0,0,37,2
225,2,1,1,38,2
226,0,0,0,38,2
227,0,1,1,37,2
228,1,1,1,37,2
229,0,0,0,37,2
230,0,1,1,36,2
231,1,0,0,37,2
232,0,0,0,37,2
233,0,1,1,36,2
234,1,0,0,37,2
235,0,1,1,36,2
236,1,0,0,37,2
237,1,1,1,37,2
238,0,0,0,37,2
239,1,1,1,37,2
240,0,0,0,37,2
241,1,1,1,37,2
242,0,0,0,37,2
243,1,1,1,37,2
244,0,1,1,36,2
245,1,0,0,37,2
246,0,1,1,36,2
247,1,0,0,37,2
248,1,1,1,37,2
249,0,1,1,36,2
250,0,0,0,36,2
251,1,0,0,37,2
252,0,1,1,36,2
253,4,1,1,39,2
254,0,0,0,39,2
255,1,0,0,40,2
256,0,0,0,40,2
257,0,2,2,38,2
258,1,0,0,39,2
259,1,1,1,39,2
260,0,0,0,39,2
261,2,1,1,40,2
262,0,0,0,40,2
263,0,0,0,40,2
264,1,1,1,40,2
265,0,1,1,39,2
266,2,0,0,41,2
267,0,0,0,41,2
268,0,0,0,41,2
269,3,2,2,42,2
270,0,0,0,42,2
271,0,0,0,42,2
272,1,1,1,42,2
273,0,0,0,42,2
274,0,1,1,41,2
275,0,0,0,41,2
276,1,1,1,41,2
277,0,1,1,40,2
278,4,0,0,44,2
279,1,0,0,45,2
280,0,0,0,45,2
281,0,1,1,44,2
282,0,1,1,43,2
283,2,0,0,45,2
284,0,0,0,45,2
285,0,1,1,44,2
286,1,1,1,44,2
287,0,0,0,44,2
288,0,1,1,43,2
289,1,1,1,43,2
290,0,0,0,43,2
291,0,0,0,43,2
292,0,1,1,42,2
293,1,0,0,43,2
294,0,1,1,42,2
295,0,1,1,41,2
296,0,0,0,41,2
297,1,0,0,42,2
298,1,1,1,42,2
299,0,1,1,41,2
300,2,0,0,43,2
301,1,0,0,44,2
302,0,0,0,44,2
303,0,1,1,43,2
304,2,1,1,44,2
305,0,0,0,44,2
306,0,0,0,44,2
307,1,1,1,44,2
308,0,0,0,44,2
309,2,1,1,45,2
310,0,0,0,45,2
311,0,0,0,45,2
312,0,1,1,44,2
313,1,0,0,45,2
314,0,1,1,44,2
315,1,0,0,45,2
316,0,2,2,43,2
317,0,0,0,43,2
318,0,0,0,43,2
319,1,0,0,44,2
320,0,2,2,42,2
321,1,0,0,43,2
322,0,1,1,42,2
323,2,0,0,44,2
324,0,0,0,44,2
325,1,1,1,44,2
326,0,0,0,44,2
327,1,1,1,44,2
328,0,0,0,44,2
329,1,1,1,44,2
330,0,1,1,43,2
331,0,0,0,43,2
332,0,0,0,43,2
333,1,1,1,43,2
334,0,0,0,43,2
335,1,1,1,43,2
336,0,0,0,43,2
337,0,1,1,42,2
338,0,1,1,41,2
339,1,0,0,42,2
340,0,0,0,42,2
341,0,0,0,42,2
342,1,1,1,42,2
343,3,1,1,44,2
344,0,0,0,44,2
345,0,0,0,44,2
346,1,2,2,43,2
347,0,0,0,43,2
348,0,0,0,43,2
349,0,2,2,41,2
350,3,0,0,44,2
351,0,0,0,44,2
352,0,0,0,44,2
353,0,0,0,44,2
354,2,2,2,44,2
355,0,0,0,44,2
356,1,0,0,45,2
357,0,0,0,45,2
358,0,0,0,45,2
359,4,2,2,47,2
360,1,0,0,48,2
361,0,0,0,48,2
362,0,0,0,48,2
363,0,1,1,47,2
364,1,1,1,47,2
365,0,0,0,47,2
366,0,0,0,47,2
367,0,0,0,47,2
368,1,1,1,47,2
369,0,1,1,46,2
370,1,0,0,47,2
371,2,2,2,47,2
372,0,0,0,47,2
373,0,0,0,47,2
374,0,2,2,45,2
375,1,0,0,46,2
376,0,0,0,46,2
377,0,0,0,46,2
378,0,1,1,45,2
379,3,1,1,47,2
